0,"1004 College Avenue"
1,"1201 William Street"
2,"Alvey Hall"
3,"Alvey House"
4,"Anderson Center"
5,"Amnex A"
6,"Amnex B"
7,"Arlington Hall"
8,"Art Gallery"
9,"Ball Hall"
10,"Battleground Athletic Complex"
11,"Bell Tower"
12,"Brent House"
13,"Brompton"
14,"Bushnell Hall"
15,"Chandler Hall"
16,"Combs Hall"
17,"Cornell House"
18,"Custis Hall"
19,"duPont Hall"
20,"Eagle Landing"
21,"Fairfax House"
22,"Fitness Center"
23,"Framar House"
24,"George Washington Hall"
25,"Goolrick Hall"
26,"Hamlet House"
27,"Heating Plant"
28,"Jefferson Hall"
29,"Jepson Alumni Executive Center"
30,"Jepson Science Center"
31,"Lee Hall"
32,"Simpson Library"
33,"Madison Hall"
34,"Marshall Hall"
35,"Marye House"
36,"Mason Hall"
37,"Melchers Hall"
38,"Mercer Hall"
39,"Monroe Hall"
40,"Parking Deck"
41,"Physical Plant"
42,"Pollard Hall"
43,"Randolph Hall"
44,"Russell Hall"
45,"Seacobeck Hall"
46,"South Hall"
47,"Tennis Center"
48,"Trinkle Hall"
49,"Tyler House"
50,"University Apartments"
51,"Virginia Hall"
52,"Westmoreland Hall"
53,"Willard Hall"
54,"Woodard Campus Center"
